"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q5,Q4";"SSM3K72KCTL3F";2;"SSM3K72KCT,L3F";;;
2;"IC3,IC2";"SON50P160X160X55-7N";2;"ISL9016IRUNCZ-T";;;
3;"IC1";"TMF88201AM";1;"TMF8828";;;
4;"D4,D3,D2,D1";"PESD5V0S1BL315";4;"PESD3V3X1BL,315";;;
5;"A1";"XDCR_AS7343-DLGM";1;"AS7343-DLGM";;;
6;"Rext1";"R_0402_1005Metric";1;"3.3M";;;
7;"C1,C7,C6,C9,C5,C8,C11";"C_0402_1005Metric";7;"1u";;;
8;"U1";"AS7331";1;"AS7331";;;
9;"R4,R2,R5,R1";"R_0402_1005Metric";4;"100K";;;
10;"C_VDDV1,C_VDDC1,C4,C_VDD1,C3,C10";"C_0402_1005Metric";6;"100n";;;
11;"PMOD1";"PMOD_6A_Male";1;"PMOD-Device-x2-Type-6A-Extended-I2C";;;
12;"R9,R8";"R_0402_1005Metric";2;"820";;;
13;"D5";"LED_PLCC_2835";1;"ASMW-LWG0-NEGBE";;;
14;"C2";"C_0402_1005Metric";1;"4.7u";;;
15;"PMOD2";"PMOD_6A_Female";1;"PMOD-Device-x2-Type-6A-Extended-I2C";;;
16;"R7";"R_0402_1005Metric";1;"22R";;;
17;"R13";"R_0402_1005Metric";1;"0";;;
18;"R3,R14";"R_0402_1005Metric";2;"10K";;;
19;"R6";"R_0402_1005Metric";1;"10";;;
